,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
5484,MONGAGUÁ,FABIO DO CARMO CEZAR,1,EMEF. BARIGUI
8990,MONGAGUÁ,EDILSON TONON D ALMEIDA,10,EMEF. TONICO SILVA
8992,MONGAGUÁ,EDILSON TONON D ALMEIDA,6,EMEF. BARIGUI
8994,MONGAGUÁ,EDILSON TONON D ALMEIDA,5,EMEF SIRANA KOUKDJIAN
9021,MONGAGUÁ,EDILSON TONON D ALMEIDA,16,EE. PROF. ARACY DA SILVA FREITAS
10484,MONGAGUÁ,GILBERTO GUEDES DO NASCIMENTO,1,EMEF SIRANA KOUKDJIAN
13024,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EMEF. TONICO SILVA
13028,MONGAGUÁ,GILMAR AGUIAR FREITAS,3,EMEF SIRANA KOUKDJIAN
13481,MONGAGUÁ,GILMAR AGUIAR FREITAS,1,EE. PROF. ARACY DA SILVA FREITAS
13491,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,15,EMEF. TONICO SILVA
13495,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,6,EMEF. BARIGUI
13498,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,13,EMEF SIRANA KOUKDJIAN
13510,MONGAGUÁ,MARIA PAULA PEREIRA KOUKDJIAN,22,EE. PROF. ARACY DA SILVA FREITAS
13999,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF. TONICO SILVA
14001,MONGAGUÁ,MARIA EUNICE OLIVEIRA DOS SANTOS,1,EMEF SIRANA KOUKDJIAN
14010,MONGAGUÁ,ADEILTON SANTIAGO,3,EMEIEF SÍTIO DO PICA PAU AMARELO
17005,MONGAGUÁ,ELI DE SOUZA SILVA,1,EMEIEF. PEQUENO PRÍNCIPE
18998,MONGAGUÁ,RENATO CARVALHO DONATO,5,EMEF. TONICO SILVA
18999,MONGAGUÁ,RENATO CARVALHO DONATO,4,EMEF. BARIGUI
19000,MONGAGUÁ,RENATO CARVALHO DONATO,4,EMEF SIRANA KOUKDJIAN
19007,MONGAGUÁ,RENATO CARVALHO DONATO,3,EE. PROF. ARACY DA SILVA FREITAS
22018,MONGAGUÁ,ALEXANDRE NADDEO,1,EMEIEF SÍTIO DO PICA PAU AMARELO
25045,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEIEF. PEQUENO PRÍNCIPE
26541,MONGAGUÁ,ELI DE SOUZA SILVA,2,EMEIEF. PEQUENO PRÍNCIPE
32064,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. BARIGUI
37578,MONGAGUÁ,ELAINE ALVES DE ARRUDA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
38627,MONGAGUÁ,MARLENE APARECIDA DE SOUZA ZERTUS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
39082,MONGAGUÁ,MARLENE APARECIDA DE SOUZA ZERTUS,1,EE. AGENOR DE CAMPOS
40578,MONGAGUÁ,ADEILTON SANTIAGO,1,EMEIEF. PROF. CÉLIA PUPO DE JESUS
40594,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,2,EMEF. PREFEITO CASSIMIRO CORREA NETO
40601,MONGAGUÁ,ALEXANDRE DA SILVA GUERRA,4,EMEF. IVONE DE ALMEIDA MONTEIRO
41613,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
41614,MONGAGUÁ,RENATA DE LIMA SANTANA DIAS,1,EMEIEF CLAUDIA MARIA ANDRELLA
