,NM_MUNICIPIO,DS_CARGO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
1847,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,13,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
3074,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,28,EMEF. REGINA MARIA
3589,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,24,EMEF. IVONE DE ALMEIDA MONTEIRO
4053,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,36,EMEF SIRANA KOUKDJIAN
4111,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,28,EE. PROF. ARACY DA SILVA FREITAS
4488,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEF. REGINA MARIA
4560,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,24,EMEF. VERA CRUZ
4986,MONGAGUÁ,Vereador,RODOLFO MARCELINO DO CARMO,1,EMEF. IVONE DE ALMEIDA MONTEIRO
5748,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,8,EMEF. PREFEITO CASSIMIRO CORREA NETO
5940,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEIEF. PEQUENO PRÍNCIPE
6536,MONGAGUÁ,Vereador,CARLOS JACO ROCHA,3,EMEF. REGINA MARIA
7597,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,28,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
9100,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,17,EMEIEF SÍTIO DO PICA PAU AMARELO
11127,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,23,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
11128,MONGAGUÁ,Prefeito,RENATO CARVALHO DONATO,32,EMEF. FLÓRIDA MIRIM
15413,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,6,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
19179,MONGAGUÁ,Vereador,JOSÉ CARLOS DOS SANTOS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
22756,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,3,EMEF. VERA CRUZ
22773,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,1,EMEF SIRANA KOUKDJIAN
24301,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,5,EE. AGENOR DE CAMPOS
24350,MONGAGUÁ,Vereador,JOSIVALDO DE ALCANTARA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
25816,MONGAGUÁ,Vereador,JOSÉ PEDRO FACCINA,6,EE. AGENOR DE CAMPOS
27320,MONGAGUÁ,Vereador,GUSTAVO TOZI DA SILVA,1,EMEF. JACOUB KOUKDJIAN
27489,MONGAGUÁ,Vereador,IVANALDO SANTANA DIAS,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
28756,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,1,EE. PROF. ARACY DA SILVA FREITAS
29189,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,8,EMEF. PROF. PEDRO FERNANDES DANTE
29415,MONGAGUÁ,Vereador,MARCIO ROBERTO DANTAS ALVES,4,EMEF SIRANA KOUKDJIAN
32677,MONGAGUÁ,Vereador,RANIEDSON FERNANDES DE LIMA,5,EMEIEF. PROF. CÉLIA PUPO DE JESUS
32809,MONGAGUÁ,Vereador,DIEGO PINHEIRO DE ALMEIDA,1,EE. AGENOR DE CAMPOS
32819,MONGAGUÁ,Vereador,BALBINO FERREIRA DE JESUS,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
