,NM_MUNICIPIO,NM_VOTAVEL,QT_VOTOS,NM_LOCAL_VOTACAO
2482,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,53,EMEF. JACOUB KOUKDJIAN
5997,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,46,EMEF. PROF. PEDRO FERNANDES DANTE
8464,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,55,EMEF SIRANA KOUKDJIAN
9974,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,60,EMEF SIRANA KOUKDJIAN
9975,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,78,EE. PROF. AIDA LEDA BAUER DAVIES
9976,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,61,EMEF. JACOUB KOUKDJIAN
9977,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,73,EMEIEF. PEQUENO PRÍNCIPE
9978,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,65,EMEF. JACOUB KOUKDJIAN
12026,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,70,EMEF SIRANA KOUKDJIAN
12030,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,131,EMEF. FLÓRIDA MIRIM
12031,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,53,EMEIEF CLAUDIA MARIA ANDRELLA
12032,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,55,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
14036,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,64,EMEIEF CLAUDIA MARIA ANDRELLA
14037,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,71,EMEF. IVONE DE ALMEIDA MONTEIRO
14038,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,58,EMEF. BARIGUI
14039,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,85,EMEF. IVONE DE ALMEIDA MONTEIRO
16512,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,61,EMEF. PREFEITO CASSIMIRO CORREA NETO
16516,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,45,EMEF. PROF. PEDRO FERNANDES DANTE
18516,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,82,EE. PROF. ARACY DA SILVA FREITAS
18517,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,92,EE. PROF. ARACY DA SILVA FREITAS
18523,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,49,EMEIEF CLAUDIA MARIA ANDRELLA
20039,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,73,EMEF VEREADOR GIVALDO ALVES GOMES
22068,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,69,EMEF. FLÓRIDA MIRIM
22069,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,107,EMEF. JACOUB KOUKDJIAN
24040,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,87,EE. PROF. ARACY DA SILVA FREITAS
24042,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,72,EMEIEF. PROF. CÉLIA PUPO DE JESUS
25026,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,71,EMEF. IVONE DE ALMEIDA MONTEIRO
25027,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,59,EMEF. FLÓRIDA MIRIM
26561,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,62,EE. AGENOR DE CAMPOS
26564,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,49,EMEF. BARIGUI
26565,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,89,EE. PROF. ARACY DA SILVA FREITAS
28579,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,66,EMEF. IVONE DE ALMEIDA MONTEIRO
28580,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,64,EMEIEF. PEQUENO PRÍNCIPE
30572,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,71,EMEF. JACOUB KOUKDJIAN
30576,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,63,EMEF. FLÓRIDA MIRIM
30577,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,60,EMEF. TONICO SILVA
30578,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,63,EMEF. TONICO SILVA
32058,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,78,EE. PROF. AIDA LEDA BAUER DAVIES
32059,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,73,EMEF. FLÓRIDA MIRIM
32060,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,47,EE. AGENOR DE CAMPOS
32589,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,99,EE. PROF. AIDA LEDA BAUER DAVIES
32590,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,55,EMEF SIRANA KOUKDJIAN
32591,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,44,EE. AGENOR DE CAMPOS
32592,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,63,EMEF. JACOUB KOUKDJIAN
33591,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,88,EE. PROF. AIDA LEDA BAUER DAVIES
33592,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,75,EMEF. BARIGUI
33593,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,71,EE. AGENOR DE CAMPOS
35056,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,72,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
35059,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,66,EMEF SIRANA KOUKDJIAN
35061,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,62,EMEF SIRANA KOUKDJIAN
35587,MONGAGUÁ,RAFAEL LUIZ REDO GARCIA,62,EMEF. TONICO SILVA
436441,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. PREFEITO CASSIMIRO CORREA NETO
436446,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EMEIEF CLAUDIA MARIA ANDRELLA
436447,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EMEIEF. PROF. CÉLIA PUPO DE JESUS
436448,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. FLÓRIDA MIRIM
438452,MONGAGUÁ,MARCIA DAS DORES SILVA,3,EMEIEF CLAUDIA MARIA ANDRELLA
438453,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
444507,MONGAGUÁ,MARCIA DAS DORES SILVA,3,EMEF. IVONE DE ALMEIDA MONTEIRO
446063,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
448049,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EMEF. BARIGUI
448050,MONGAGUÁ,MARCIA DAS DORES SILVA,3,EMEIEF. PEQUENO PRÍNCIPE
452015,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. TONICO SILVA
452024,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. TONICO SILVA
454474,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EE. AGENOR DE CAMPOS
454476,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
456456,MONGAGUÁ,MARCIA DAS DORES SILVA,3,EE. AGENOR DE CAMPOS
458511,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF SIRANA KOUKDJIAN
458513,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EMEF. IVONE DE ALMEIDA MONTEIRO
458514,MONGAGUÁ,MARCIA DAS DORES SILVA,1,EE. PROF. AIDA LEDA BAUER DAVIES
460509,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EMEF. PROF. PEDRO FERNANDES DANTE
460510,MONGAGUÁ,MARCIA DAS DORES SILVA,2,EE. PROF. ARACY DA SILVA FREITAS
536721,MONGAGUÁ,PAULO WIAZOWSKI FILHO,93,EMEF. PREFEITO CASSIMIRO CORREA NETO
536722,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEIEF CLAUDIA MARIA ANDRELLA
536723,MONGAGUÁ,PAULO WIAZOWSKI FILHO,95,EMEIEF. PROF. CÉLIA PUPO DE JESUS
536724,MONGAGUÁ,PAULO WIAZOWSKI FILHO,68,EMEF. FLÓRIDA MIRIM
537266,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEIEF CLAUDIA MARIA ANDRELLA
537267,MONGAGUÁ,PAULO WIAZOWSKI FILHO,128,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
537268,MONGAGUÁ,PAULO WIAZOWSKI FILHO,99,EE. AGENOR DE CAMPOS
540238,MONGAGUÁ,PAULO WIAZOWSKI FILHO,88,EMEF. PREFEITO CASSIMIRO CORREA NETO
540241,MONGAGUÁ,PAULO WIAZOWSKI FILHO,84,EMEF. IVONE DE ALMEIDA MONTEIRO
541250,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
541251,MONGAGUÁ,PAULO WIAZOWSKI FILHO,118,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
541252,MONGAGUÁ,PAULO WIAZOWSKI FILHO,107,EMEF. JACOUB KOUKDJIAN
541253,MONGAGUÁ,PAULO WIAZOWSKI FILHO,93,EMEF. IVONE DE ALMEIDA MONTEIRO
541254,MONGAGUÁ,PAULO WIAZOWSKI FILHO,89,EMEF. IVONE DE ALMEIDA MONTEIRO
542252,MONGAGUÁ,PAULO WIAZOWSKI FILHO,88,EE. PROF. AIDA LEDA BAUER DAVIES
542253,MONGAGUÁ,PAULO WIAZOWSKI FILHO,112,EMEF. BARIGUI
542255,MONGAGUÁ,PAULO WIAZOWSKI FILHO,90,EMEIEF. PEQUENO PRÍNCIPE
543778,MONGAGUÁ,PAULO WIAZOWSKI FILHO,86,EMEF. TONICO SILVA
543779,MONGAGUÁ,PAULO WIAZOWSKI FILHO,94,EMEF. TONICO SILVA
543785,MONGAGUÁ,PAULO WIAZOWSKI FILHO,94,EE. PROF. ARACY DA SILVA FREITAS
544801,MONGAGUÁ,PAULO WIAZOWSKI FILHO,93,EE. AGENOR DE CAMPOS
544802,MONGAGUÁ,PAULO WIAZOWSKI FILHO,116,EE. AGENOR DE CAMPOS
544803,MONGAGUÁ,PAULO WIAZOWSKI FILHO,114,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
545807,MONGAGUÁ,PAULO WIAZOWSKI FILHO,101,EE. AGENOR DE CAMPOS
546799,MONGAGUÁ,PAULO WIAZOWSKI FILHO,73,EMEF SIRANA KOUKDJIAN
546801,MONGAGUÁ,PAULO WIAZOWSKI FILHO,107,EMEF. IVONE DE ALMEIDA MONTEIRO
546802,MONGAGUÁ,PAULO WIAZOWSKI FILHO,77,EE. PROF. AIDA LEDA BAUER DAVIES
548301,MONGAGUÁ,PAULO WIAZOWSKI FILHO,109,EMEF. PROF. PEDRO FERNANDES DANTE
548302,MONGAGUÁ,PAULO WIAZOWSKI FILHO,85,EE. PROF. ARACY DA SILVA FREITAS
548303,MONGAGUÁ,PAULO WIAZOWSKI FILHO,103,EE. AGENOR DE CAMPOS
550365,MONGAGUÁ,PAULO WIAZOWSKI FILHO,84,EMEF SIRANA KOUKDJIAN
550366,MONGAGUÁ,PAULO WIAZOWSKI FILHO,109,EMEIEF SÍTIO DO PICA PAU AMARELO
551356,MONGAGUÁ,PAULO WIAZOWSKI FILHO,99,EE. AGENOR DE CAMPOS
552346,MONGAGUÁ,PAULO WIAZOWSKI FILHO,90,EE. PROF. ARACY DA SILVA FREITAS
552347,MONGAGUÁ,PAULO WIAZOWSKI FILHO,49,EMEF SIRANA KOUKDJIAN
552348,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEF. JACOUB KOUKDJIAN
552349,MONGAGUÁ,PAULO WIAZOWSKI FILHO,119,EMEF. BARIGUI
552890,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEF. JACOUB KOUKDJIAN
552891,MONGAGUÁ,PAULO WIAZOWSKI FILHO,98,EMEF. IVONE DE ALMEIDA MONTEIRO
552899,MONGAGUÁ,PAULO WIAZOWSKI FILHO,87,EMEF. TONICO SILVA
553886,MONGAGUÁ,PAULO WIAZOWSKI FILHO,92,EMEIEF. PEQUENO PRÍNCIPE
555880,MONGAGUÁ,PAULO WIAZOWSKI FILHO,100,EMEF. TONICO SILVA
555881,MONGAGUÁ,PAULO WIAZOWSKI FILHO,90,EMEF. BARIGUI
555883,MONGAGUÁ,PAULO WIAZOWSKI FILHO,87,EMEF SIRANA KOUKDJIAN
555884,MONGAGUÁ,PAULO WIAZOWSKI FILHO,111,EE. PROF. ARACY DA SILVA FREITAS
557933,MONGAGUÁ,PAULO WIAZOWSKI FILHO,87,EMEIEF. PEQUENO PRÍNCIPE
557934,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEIEF. PEQUENO PRÍNCIPE
557935,MONGAGUÁ,PAULO WIAZOWSKI FILHO,110,EMEIEF. PROF. CÉLIA PUPO DE JESUS
558439,MONGAGUÁ,PAULO WIAZOWSKI FILHO,105,EMEF. PROF. PEDRO FERNANDES DANTE
558938,MONGAGUÁ,PAULO WIAZOWSKI FILHO,118,EMEF. PROF. PEDRO FERNANDES DANTE
558939,MONGAGUÁ,PAULO WIAZOWSKI FILHO,87,EE. PROF. ARACY DA SILVA FREITAS
559921,MONGAGUÁ,PAULO WIAZOWSKI FILHO,64,EMEF SIRANA KOUKDJIAN
559922,MONGAGUÁ,PAULO WIAZOWSKI FILHO,83,EMEIEF. PROF. CÉLIA PUPO DE JESUS
560432,MONGAGUÁ,PAULO WIAZOWSKI FILHO,94,EE. PROF. AIDA LEDA BAUER DAVIES
560964,MONGAGUÁ,PAULO WIAZOWSKI FILHO,132,EMEF. JACOUB KOUKDJIAN
560965,MONGAGUÁ,PAULO WIAZOWSKI FILHO,117,EMEF VEREADOR GIVALDO ALVES GOMES
560967,MONGAGUÁ,PAULO WIAZOWSKI FILHO,107,EE. AGENOR DE CAMPOS
560968,MONGAGUÁ,PAULO WIAZOWSKI FILHO,123,EMEIEF CLAUDIA MARIA ANDRELLA
561914,MONGAGUÁ,PAULO WIAZOWSKI FILHO,134,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
562437,MONGAGUÁ,PAULO WIAZOWSKI FILHO,85,EMEF. TONICO SILVA
562438,MONGAGUÁ,PAULO WIAZOWSKI FILHO,70,EMEF. PREFEITO CASSIMIRO CORREA NETO
562887,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEIEF SÍTIO DO PICA PAU AMARELO
562889,MONGAGUÁ,PAULO WIAZOWSKI FILHO,78,EMEF. PREFEITO CASSIMIRO CORREA NETO
562890,MONGAGUÁ,PAULO WIAZOWSKI FILHO,108,EMEIEF. PEQUENO PRÍNCIPE
563413,MONGAGUÁ,PAULO WIAZOWSKI FILHO,108,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
563414,MONGAGUÁ,PAULO WIAZOWSKI FILHO,104,EMEIEF. PEQUENO PRÍNCIPE
563919,MONGAGUÁ,PAULO WIAZOWSKI FILHO,117,EMEF. BARIGUI
564898,MONGAGUÁ,PAULO WIAZOWSKI FILHO,102,EMEIEF. PROF. CÉLIA PUPO DE JESUS
564899,MONGAGUÁ,PAULO WIAZOWSKI FILHO,109,EMEF. HORTENCIA QUINTINO DE FARIA BOTELHO
564900,MONGAGUÁ,PAULO WIAZOWSKI FILHO,81,EMEF. PREFEITO CASSIMIRO CORREA NETO
564902,MONGAGUÁ,PAULO WIAZOWSKI FILHO,118,EMEIEF CLAUDIA MARIA ANDRELLA
